"case","pass","detail","warnings"
"661_destination none in_schema",TRUE," logi TRUE",""
"661_destination none DBI_Id",TRUE," logi TRUE",""
"661_destination first in_schema",TRUE," logi TRUE",""
"661_destination first DBI_Id",TRUE," logi TRUE",""
"661_destination last in_schema",TRUE," logi TRUE",""
"661_destination last DBI_Id",TRUE," logi TRUE",""
"662_transaction none FALSE FALSE",TRUE," logi TRUE",""
"662_transaction none FALSE TRUE",TRUE," logi TRUE",""
"662_transaction none TRUE FALSE",TRUE," logi TRUE",""
"662_transaction none TRUE TRUE",TRUE," logi TRUE",""
"662_transaction last FALSE FALSE",TRUE," logi TRUE",""
"662_transaction last FALSE TRUE",TRUE," logi TRUE",""
"662_transaction last TRUE FALSE",TRUE," logi TRUE",""
"662_transaction last TRUE TRUE",TRUE," logi TRUE",""
"663_downstream first select",TRUE," logi TRUE",""
"663_downstream first rename",TRUE," logi TRUE",""
"663_downstream first filter",TRUE," logi TRUE",""
"663_downstream first mutate",TRUE," logi TRUE",""
"663_downstream first arrange",TRUE," logi TRUE",""
"663_downstream last select",TRUE," logi TRUE",""
"663_downstream last rename",TRUE," logi TRUE",""
"663_downstream last filter",TRUE," logi TRUE",""
"663_downstream last mutate",TRUE," logi TRUE",""
"663_downstream last arrange",TRUE," logi TRUE",""
"665_empty_expansion none text direct",TRUE," logi TRUE",""
"665_empty_expansion none text compute",TRUE," logi TRUE",""
"665_empty_expansion none typed direct",TRUE," logi TRUE",""
"665_empty_expansion none typed compute",TRUE," logi TRUE",""
"665_empty_expansion first text direct",TRUE," logi TRUE",""
"665_empty_expansion first text compute",TRUE," logi TRUE",""
"665_empty_expansion first typed direct",TRUE," logi TRUE",""
"665_empty_expansion first typed compute",TRUE," logi TRUE",""
"665_empty_expansion last text direct",TRUE," logi TRUE",""
"665_empty_expansion last text compute",TRUE," logi TRUE",""
"665_empty_expansion last typed direct",TRUE," logi TRUE",""
"665_empty_expansion last typed compute",TRUE," logi TRUE",""
"666_share total sum first 0",TRUE," logi TRUE",""
"666_share total sum first 1",TRUE," logi TRUE",""
"666_share total sum first 2",TRUE," logi TRUE",""
"666_share total sum first Inf",TRUE," logi TRUE",""
"666_share total sum last 0",TRUE," logi TRUE",""
"666_share total sum last 1",TRUE," logi TRUE",""
"666_share total sum last 2",TRUE," logi TRUE",""
"666_share total sum last Inf",TRUE," logi TRUE",""
"666_share total mean first 0",TRUE," logi TRUE",""
"666_share total mean first 1",TRUE," logi TRUE",""
"666_share total mean first 2",TRUE," logi TRUE",""
"666_share total mean first Inf",TRUE," logi TRUE",""
"666_share total mean last 0",TRUE," logi TRUE",""
"666_share total mean last 1",TRUE," logi TRUE",""
"666_share total mean last 2",TRUE," logi TRUE",""
"666_share total mean last Inf",TRUE," logi TRUE",""
"666_share parent sum first 0",TRUE," logi TRUE",""
"666_share parent sum first 1",TRUE," logi TRUE",""
"666_share parent sum first 2",TRUE," logi TRUE",""
"666_share parent sum first Inf",TRUE," logi TRUE",""
"666_share parent sum last 0",TRUE," logi TRUE",""
"666_share parent sum last 1",TRUE," logi TRUE",""
"666_share parent sum last 2",TRUE," logi TRUE",""
"666_share parent sum last Inf",TRUE," logi TRUE",""
"666_share parent mean first 0",TRUE," logi TRUE",""
"666_share parent mean first 1",TRUE," logi TRUE",""
"666_share parent mean first 2",TRUE," logi TRUE",""
"666_share parent mean first Inf",TRUE," logi TRUE",""
"666_share parent mean last 0",TRUE," logi TRUE",""
"666_share parent mean last 1",TRUE," logi TRUE",""
"666_share parent mean last 2",TRUE," logi TRUE",""
"666_share parent mean last Inf",TRUE," logi TRUE",""
"normal_all_null_source character first direct",TRUE," logi TRUE",""
"normal_all_null_source character first finite",TRUE," logi TRUE",""
"normal_all_null_source character first compute",TRUE," logi TRUE",""
"normal_all_null_source character last direct",TRUE," logi TRUE",""
"normal_all_null_source character last finite",TRUE," logi TRUE",""
"normal_all_null_source character last compute",TRUE," logi TRUE",""
"normal_all_null_source integer first direct",TRUE," logi TRUE",""
"normal_all_null_source integer first finite",TRUE," logi TRUE",""
"normal_all_null_source integer first compute",TRUE," logi TRUE",""
"normal_all_null_source integer last direct",TRUE," logi TRUE",""
"normal_all_null_source integer last finite",TRUE," logi TRUE",""
"normal_all_null_source integer last compute",TRUE," logi TRUE",""
"normal_all_null_source double first direct",TRUE," logi TRUE",""
"normal_all_null_source double first finite",TRUE," logi TRUE",""
"normal_all_null_source double first compute",TRUE," logi TRUE",""
"normal_all_null_source double last direct",TRUE," logi TRUE",""
"normal_all_null_source double last finite",TRUE," logi TRUE",""
"normal_all_null_source double last compute",TRUE," logi TRUE",""
"materialized_explicit_order first",TRUE," logi TRUE",""
"materialized_explicit_order last",TRUE," logi TRUE",""
"failure_atomic_overwrite_unique FALSE",TRUE," logi TRUE",""
"failure_atomic_overwrite_unique TRUE",TRUE," logi TRUE",""
"audit_result_sql_and_no_execution_record",TRUE," logi TRUE",""
"finite_validation -1",TRUE," logi TRUE",""
"finite_validation 1",TRUE," logi TRUE",""
"finite_validation 1,2",TRUE," logi TRUE",""
"finite_validation 1.9",TRUE," logi TRUE",""
"finite_validation 0",TRUE," logi TRUE",""
"finite_validation Inf",TRUE," logi TRUE",""
"ordinary_dbplyr_control",TRUE," logi TRUE",""
