"case","status","detail","warnings"
"#661 sorted in_schema FALSE","PASS","remote_table= ",""
"#661 sorted in_schema TRUE","PASS","remote_table= ",""
"#661 sorted Id FALSE","PASS","remote_table= ",""
"#661 sorted Id TRUE","PASS","remote_table= ",""
"#661 unsorted in_schema FALSE","PASS","remote_table= `other`.`report`",""
"#661 unsorted in_schema TRUE","PASS","remote_table= `other`.`report`",""
"#661 unsorted Id FALSE","PASS","remote_table= `other`.`report`",""
"#661 unsorted Id TRUE","PASS","remote_table= `other`.`report`",""
"#662 sorted active= FALSE in_transaction= FALSE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= FALSE in_transaction= FALSE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= FALSE in_transaction= TRUE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= FALSE in_transaction= TRUE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= TRUE in_transaction= FALSE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= TRUE in_transaction= FALSE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= TRUE in_transaction= TRUE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 sorted active= TRUE in_transaction= TRUE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= FALSE in_transaction= FALSE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= FALSE in_transaction= FALSE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= FALSE in_transaction= TRUE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= FALSE in_transaction= TRUE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= TRUE in_transaction= FALSE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= TRUE in_transaction= FALSE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= TRUE in_transaction= TRUE failure= FALSE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#662 unsorted active= TRUE in_transaction= TRUE failure= TRUE","PASS","atomic target / marker ownership / subsequent compute / cleanup preserved",""
"#663 first","PASS","direct order and select/rename/filter/mutate/arrange pass","Missing values are always removed in SQL aggregation functions.
Use `na.rm = TRUE` to silence this warning
This warning is displayed once every 8 hours."
"#663 last","PASS","direct order and select/rename/filter/mutate/arrange pass",""
"#665 none Total explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 none Total explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 none NULL explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 none NULL explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 none NA explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 none NA explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 first Total explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
