"file","test","nb","failed","error","warning","skipped"
"test-margin-order.R","a rollup puts each subtotal after the rows it summarizes",3,0,FALSE,0,FALSE
"test-margin-order.R","`first` reverses the Grouping bits and nothing else",2,0,FALSE,0,FALSE
"test-margin-order.R","row order is unspecified by default",2,0,FALSE,0,FALSE
"test-margin-order.R","all four Margin verbs order their results",8,0,FALSE,0,FALSE
"test-margin-order.R","`.sort` is validated with the common Margin choice matcher",12,0,FALSE,0,FALSE
"test-margin-order.R","each fixed key is one contiguous, self-contained block",3,0,FALSE,0,FALSE
"test-margin-order.R","a factor dimension orders by its restored levels",2,0,FALSE,0,FALSE
"test-margin-order.R","`.margin_label_position` moves levels and not rows",3,0,FALSE,0,FALSE
"test-margin-order.R","a composite dimension orders as the one dimension it is",3,0,FALSE,0,FALSE
"test-margin-order.R","margins and source missing values separate by position",2,0,FALSE,0,FALSE
"test-margin-order.R","duplicate occurrences come out adjacent and in plan order",4,0,FALSE,0,FALSE
"test-margin-order.R","a Margin order composes with contextual shares",3,0,FALSE,0,FALSE
"test-margin-order.R","a native summary keeps its plan and adds no visible column",6,0,FALSE,0,FALSE
"test-margin-order.R","a native summary reuses `.id` rather than staging its own",2,0,FALSE,0,FALSE
"test-margin-order.R","a Margin order leaves no window ordering to inherit",3,0,FALSE,0,FALSE
"test-margin-order.R","the portable adapter keeps its branch identifier resolvable",12,0,FALSE,0,FALSE
"test-margin-order.R","missing values sort last within a Grouping bit group",2,0,FALSE,0,FALSE
"test-margin-order.R","a fixed key sorts its missing values last",3,0,FALSE,0,FALSE
"test-margin-order.R","structured fixed keys sort by row with wholly missing keys last",16,0,FALSE,0,FALSE
"test-margin-order.R","structured dimensions with typed missing labels retain row shape",20,0,FALSE,0,FALSE
"test-margin-order.R","structured keys keep occurrence tiebreaking",8,0,FALSE,0,FALSE
"test-margin-order.R","empty structured keys keep their column shape under Margin order",10,0,FALSE,0,FALSE
"test-margin-order.R","a one-occurrence plan carries its `ORDER BY` on a lazy backend",36,0,FALSE,0,FALSE
"test-margin-order.R","a one-occurrence plan keeps its native plan and its order",24,0,FALSE,0,FALSE
"test-margin-order.R","`.id` on a one-occurrence plan leaves the key what it was",4,0,FALSE,0,FALSE
"test-margin-order.R","`.sort = ""none""` records no order on a one-occurrence plan",12,0,FALSE,0,FALSE
"test-margin-order.R","`.sort = ""none""` clears no window ordering",1,0,FALSE,0,FALSE
"test-margin-order.R","`.sort = ""none""` preserves portable window ordering",2,0,FALSE,0,FALSE
"test-margin-order.R","portable window ordering keeps only summary columns",1,0,FALSE,0,FALSE
