"case","result"
"661 none schema analyze FALSE overwrite FALSE","PASS"
"661 none schema analyze FALSE overwrite TRUE","PASS"
"661 none schema analyze TRUE overwrite FALSE","PASS"
"661 none schema analyze TRUE overwrite TRUE","PASS"
"661 none DBI analyze FALSE overwrite FALSE","PASS"
"661 none DBI analyze FALSE overwrite TRUE","PASS"
"661 none DBI analyze TRUE overwrite FALSE","PASS"
"661 none DBI analyze TRUE overwrite TRUE","PASS"
"661 first schema analyze FALSE overwrite FALSE","PASS"
"661 first schema analyze FALSE overwrite TRUE","PASS"
"661 first schema analyze TRUE overwrite FALSE","PASS"
"661 first schema analyze TRUE overwrite TRUE","PASS"
"661 first DBI analyze FALSE overwrite FALSE","PASS"
"661 first DBI analyze FALSE overwrite TRUE","PASS"
"661 first DBI analyze TRUE overwrite FALSE","PASS"
"661 first DBI analyze TRUE overwrite TRUE","PASS"
"661 last schema analyze FALSE overwrite FALSE","PASS"
"661 last schema analyze FALSE overwrite TRUE","PASS"
"661 last schema analyze TRUE overwrite FALSE","PASS"
"661 last schema analyze TRUE overwrite TRUE","PASS"
"661 last DBI analyze FALSE overwrite FALSE","PASS"
"661 last DBI analyze FALSE overwrite TRUE","PASS"
"661 last DBI analyze TRUE overwrite FALSE","PASS"
"661 last DBI analyze TRUE overwrite TRUE","PASS"
"662 none caller FALSE in_transaction FALSE failure FALSE","PASS"
"662 none caller FALSE in_transaction FALSE failure TRUE","PASS"
"662 none caller FALSE in_transaction TRUE failure FALSE","PASS"
"662 none caller FALSE in_transaction TRUE failure TRUE","PASS"
"662 none caller TRUE in_transaction FALSE failure FALSE","PASS"
"662 none caller TRUE in_transaction FALSE failure TRUE","PASS"
"662 none caller TRUE in_transaction TRUE failure FALSE","PASS"
"662 none caller TRUE in_transaction TRUE failure TRUE","PASS"
"662 last caller FALSE in_transaction FALSE failure FALSE","PASS"
"662 last caller FALSE in_transaction FALSE failure TRUE","PASS"
"662 last caller FALSE in_transaction TRUE failure FALSE","PASS"
"662 last caller FALSE in_transaction TRUE failure TRUE","PASS"
"662 last caller TRUE in_transaction FALSE failure FALSE","PASS"
"662 last caller TRUE in_transaction FALSE failure TRUE","PASS"
"662 last caller TRUE in_transaction TRUE failure FALSE","PASS"
"662 last caller TRUE in_transaction TRUE failure TRUE","PASS"
"663 downstream first","PASS"
"overwrite source first","PASS"
"663 downstream last","PASS"
"overwrite source last","PASS"
"665 none Total explicit FALSE","PASS"
"665 none Total explicit TRUE","PASS"
"665 none NULL explicit FALSE","PASS"
"665 none NULL explicit TRUE","PASS"
"665 none NA explicit FALSE","PASS"
"665 none NA explicit TRUE","PASS"
"665 first Total explicit FALSE","PASS"
"665 first Total explicit TRUE","PASS"
"665 first NULL explicit FALSE","PASS"
"665 first NULL explicit TRUE","PASS"
"665 first NA explicit FALSE","PASS"
"665 first NA explicit TRUE","PASS"
"665 last Total explicit FALSE","PASS"
"665 last Total explicit TRUE","PASS"
"665 last NULL explicit FALSE","PASS"
"665 last NULL explicit TRUE","PASS"
"665 last NA explicit FALSE","PASS"
"665 last NA explicit TRUE","PASS"
"666 none Total sum","PASS"
"666 none Total mean","PASS"
"666 none NULL sum","PASS"
"666 none NULL mean","PASS"
"666 first Total sum","PASS"
"666 first Total mean","PASS"
"666 first NULL sum","PASS"
"666 first NULL mean","PASS"
"666 last Total sum","PASS"
"666 last Total mean","PASS"
"666 last NULL sum","PASS"
"666 last NULL mean","PASS"
"666 original missing numerator","PASS"
"all rowid aliases remain refused before materialization","PASS"
"audit result remains exact direct SQL; compute adds no audit rows","PASS"
